Job Title,Salary Estimate,Salary_Min,Salary_Max,Salary_Mid,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,lat,lng,STATE
Senior Healthcare Data Analyst,$77K-$132K (Glassdoor est.),77000,132000,104500,4.5,"RAMPS International Inc
4.5","New York, NY","Edison, NJ",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1,40.6943,-73.9249,NY
"Data Analyst, Quality & Patient Safety",$77K-$132K (Glassdoor est.),77000,132000,104500,-1,Episcopal Health Services Inc.,"Far Rockaway, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.6943,-73.9249,NY
Senior Data Analyst - FHC - Family Support Center,$77K-$132K (Glassdoor est.),77000,132000,104500,4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,40.6943,-73.9249,NY
QA Data Analyst,$77K-$132K (Glassdoor est.),77000,132000,104500,5,"Professional Resource Group
5.0","Lake Success, NY","Spring, TX",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),-1,-1,40.768,-73.7089,NY
Sr Data Analyst for Customer Based Management,$77K-$132K (Glassdoor est.),77000,132000,104500,3,"Altice USA
3.0","Long Island City, NY","Queens Village, NY",10000+ employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
"Data Analyst/Project Manager in Jersey City, New Jersey | Careers at Harborside",$77K-$132K (Glassdoor est.),77000,132000,104500,3.4,"Sumitomo Mitsui Banking Corporation (SMBC)
3.4","Jersey City, NJ","Tokyo, Japan",10000+ employees,1996,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"Bank Of Tokyo-Mitsubishi UFJ, Mizuho Financial Group, Citi",-1,40.7161,-74.0682,NJ
Senior Financial Analyst - Enterprise Data,$98K-$114K (Glassdoor est.),98000,114000,106000,3.2,"Geller & Company
3.2","New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Data Analyst with Data Lineage/Rochade,$98K-$114K (Glassdoor est.),98000,114000,106000,4,"Reliable Software Resources
4.0","Florham Park, NJ","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,40.7773,-74.3953,NJ
Senior Market Data Content Acquisition/Procurement Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,2.8,"Intercontinental Exchange, Inc.
2.8","New York, NY","Atlanta, GA",1001 to 5000 employees,2000,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,-1,40.6943,-73.9249,NY
Sr. Specialist Reporting Data Analyst /Engineer - Cloud,$98K-$114K (Glassdoor est.),98000,114000,106000,3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,40.7773,-74.3953,NJ
"Senior Business Analyst, Data Management",$98K-$114K (Glassdoor est.),98000,114000,106000,3.4,"Plymouth Rock Assurance
3.4","Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",-1,40.2236,-74.7641,NJ
Data Science Analyst II - Mount Sinai Health Partners,$98K-$114K (Glassdoor est.),98000,114000,106000,3.4,"Mount Sinai Health System
3.4","New York, NY","New York, NY",10000+ employees,2013,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),-1,-1,40.6943,-73.9249,NY
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,3.5,"SAT Healthcare
3.5","New York, NY","Santa Clara, CA",201 to 500 employees,2002,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1,40.6943,-73.9249,NY
Data Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,3.3,"Atrium Staffing
3.3","Parsippany, NJ","New York, NY",51 to 200 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Kelly,-1,40.2236,-74.7641,NJ
Technical Business Analyst with Retail Banking and Large Data Program,$98K-$114K (Glassdoor est.),98000,114000,106000,3.7,"eTeam Inc.
3.7","New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",-1,40.6943,-73.9249,NY
Principal Sales Operations Analyst - Oracle Data Cloud,$98K-$114K (Glassdoor est.),98000,114000,106000,3.6,"Oracle
3.6","New York, NY","Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"SAP, Salesforce, Microsoft",-1,40.6943,-73.9249,NY
QA Production Data Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,2.7,"Metroplus Health Plan
2.7","New York, NY","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,40.6943,-73.9249,NY
JPSC-7462 - Data Analyst Lead - Sr. Tableau Lead,$98K-$114K (Glassdoor est.),98000,114000,106000,4.5,"Avani Technology Solutions
4.5","Whippany, NJ","Rochester, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,40.2236,-74.7641,NJ
Data Services Lead Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,2.5,"Primesoft
2.5","New York, NY","LISBOA, Portugal",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1,-1,40.6943,-73.9249,NY
"Sr Data Analyst, Go-Live",$98K-$114K (Glassdoor est.),98000,114000,106000,4.4,"Riskified
4.4","New York, NY","New York, NY",501 to 1000 employees,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,"Signifyd, Forter",-1,40.6943,-73.9249,NY
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),98000,114000,106000,-1,IPro.org,"Great Neck, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.8028,-73.7332,NY
Senior Healthcare Data Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,4.3,"Cecelia Health
4.3","New York, NY","New York, NY",51 to 200 employees,2009,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Regulatory Risk Management Data Analytics and Reporting Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,5,"Creative Data Resources
5.0","New York, NY","New York, NY",1 to 50 employees,1992,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,4.4,"Systemart LLC
4.4","New York, NY","Parsippany, NJ",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),-1,-1,40.6943,-73.9249,NY
"Specialist, Data and Reporting Analyst - IT Change Management",$98K-$114K (Glassdoor est.),98000,114000,106000,3.2,"The Bank of New York Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,40.7773,-74.3953,NJ
Datastage Developer/Consultant/IBM Websphere Datastage Developer(ETL Data Analyst)-Only Local to NY/,$98K-$114K (Glassdoor est.),98000,114000,106000,4.8,"TechProjects
4.8","Jersey City, NJ","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,40.7161,-74.0682,NJ
Data Analyst III- SAS req'd,$98K-$114K (Glassdoor est.),98000,114000,106000,3,"IPRO
3.0","Lake Success, NY","N New Hyde Park, NY",201 to 500 employees,1984,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1,-1,40.768,-73.7089,NY
Data Warehouse systems analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,5,"ITech Recruiting
5.0","New York, NY","Shepton Mallet, United Kingdom",51 to 200 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
TX Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,3.4,"RN Staff
3.4","New York, NY","Westfield, IN",Unknown,-1,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
NY Healthcare Data/Reporting Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,4.2,"Abacus Service Corporation
4.2","New York, NY","Southfield, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Sr. Data Analyst - RWE,$98K-$114K (Glassdoor est.),98000,114000,106000,4.2,"CyberCoders
4.2","Hoboken, NJ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1,40.7453,-74.0279,NJ
Data Migration Lead/ Analyst (migration of data to the new target system),$98K-$114K (Glassdoor est.),98000,114000,106000,3.4,"TECHNOCRAFT Solutions
3.4","New York, NY","Hilliard, OH",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1,-1,40.6943,-73.9249,NY
Senior Data Analytics Solutions Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,40.6943,-73.9249,NY
Technical Analyst - Access/Identity Data Security,$98K-$114K (Glassdoor est.),98000,114000,106000,-1,C&G Consulting Services,"Hoboken, NJ",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.7453,-74.0279,NJ
Data Analyst - Cardiac Cath Lab,$98K-$114K (Glassdoor est.),98000,114000,106000,3.7,"RWJBarnabas Health
3.7","West Orange, NJ","West Orange, NJ",10000+ employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),"Atlantic Health System, Robert Wood Johnson University Hospital, Solaris Health System",-1,40.2236,-74.7641,NJ
Data Quality Management Analyst,$98K-$114K (Glassdoor est.),98000,114000,106000,4,"Reliable Software Resources
4.0","New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,40.6943,-73.9249,NY
"Business Analyst (SQL/SQL TOAD, Excel, XML, X12, HL7 messaging, data quality analysis)",$48K-$96K (Glassdoor est.),48000,96000,72000,4.3,"MVP Consulting Plus Inc
4.3","New York, NY","Albany, NY",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$5 to $10 million (USD),-1,-1,40.6943,-73.9249,NY
Senior Teradata Developer / Data Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,3.8,"Capgemini
3.8","Jersey City, NJ","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",-1,40.7161,-74.0682,NJ
Data & Interface Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,2.4,"Centers Plan for Healthy Living
2.4","Staten Island, NY","Staten Island, NY",501 to 1000 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,40.5834,-74.1496,NY
NY Healthcare Data/Reporting Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,3.4,"RN Staff
3.4","New York, NY","Westfield, IN",Unknown,-1,Unknown,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Healthcare Senior Data Analyst - HEDIS,$48K-$96K (Glassdoor est.),48000,96000,72000,-1,Village Care,"New York, NY","Durham, United Kingdom",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Data Analyst (Must have PL/SQL and Healthcare background),$48K-$96K (Glassdoor est.),48000,96000,72000,-1,Clear Technology Consulting,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.6943,-73.9249,NY
Data Analyst / IT Data & Business Intelligence,$48K-$96K (Glassdoor est.),48000,96000,72000,4,"Lorven Technologies Inc
4.0","Harrison, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,-1,41.0233,-73.7192,NY
Sr. Specialist Reporting Data Analyst -Technology,$48K-$96K (Glassdoor est.),48000,96000,72000,3.2,"BNY Mellon
3.2","Florham Park, NJ","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,40.7773,-74.3953,NJ
Sr. Programmer Analyst - Big Data,$48K-$96K (Glassdoor est.),48000,96000,72000,3.3,"Norgate Technology Inc
3.3","Jersey City, NJ","Garden City, NY",51 to 200 employees,1993,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,-1,40.7161,-74.0682,NJ
Senior Data Analyst - FHC - Family Support Center,$48K-$96K (Glassdoor est.),48000,96000,72000,-1,NYU Family Health Centers,"Brooklyn, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.6501,-73.9496,NY
Data Analyst â Junior,$48K-$96K (Glassdoor est.),48000,96000,72000,5,"Staffigo Technical Services, LLC
5.0","New York, NY","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,40.6943,-73.9249,NY
Sr. Principal Metrics Analyst- Data Scientist,$48K-$96K (Glassdoor est.),48000,96000,72000,3.2,"The Bank of New York Mellon
3.2","New York, NY","New York, NY",10000+ employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"State Street, Northern Trust, BlackRock",-1,40.6943,-73.9249,NY
Product & Pricing Data Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,3.1,"HomeBridge Financial Services
3.1","Iselin, NJ","Iselin, NJ",1001 to 5000 employees,1989,Company - Private,Lending,Finance,$10+ billion (USD),-1,-1,40.5702,-74.317,NJ
SAP Data Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,3.9,"Sharp Electronics Corporation
3.9","Montvale, NJ","Montvale, NJ",1001 to 5000 employees,1962,Company - Public,IT Services,Information Technology,$1 to $2 billion (USD),-1,-1,41.0529,-74.0499,NJ
"Senior Data Analyst (E-commerce, Marketing)",$48K-$96K (Glassdoor est.),48000,96000,72000,-1,JR Cigar/MC Management,"Whippany, NJ",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.2236,-74.7641,NJ
Clinical Data Designer (Sr. SDTM Programmer/Analyst),$48K-$96K (Glassdoor est.),48000,96000,72000,2.5,"Avacend, Inc.
2.5","Woodcliff Lake, NJ","Alpharetta, GA",51 to 200 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,41.0253,-74.0603,NJ
Senior Data Analytics Solutions Analyst with Security Clearance,$48K-$96K (Glassdoor est.),48000,96000,72000,3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,40.6943,-73.9249,NY
"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst",$48K-$96K (Glassdoor est.),48000,96000,72000,4.5,"Avani Technology Solutions
4.5","Brooklyn, NY","Rochester, NY",501 to 1000 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1,40.6501,-73.9496,NY
Senior Billing Data Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,3.2,"Care Design New York
3.2","Bronx, NY","Albany, NY",1001 to 5000 employees,2018,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,40.8501,-73.8662,NY
Master Data Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,4.4,"ACT Consulting
4.4","Parsippany, NJ","London, United Kingdom",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,40.2236,-74.7641,NJ
Sr. Data Analyst,$48K-$96K (Glassdoor est.),48000,96000,72000,3.8,"TekniSMart Solutions
3.8","Franklin Lakes, NJ","Plano, TX",1 to 50 employees,-1,Contract,-1,-1,Unknown / Non-Applicable,-1,-1,41.0086,-74.2083,NJ
"Senior Functional Analyst SAP Data design, SD/MM/PP",$48K-$96K (Glassdoor est.),48000,96000,72000,3.4,"EVERSANA
3.4","New York, NY","Chicago, IL",1001 to 5000 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,-1,40.6943,-73.9249,NY
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,-1,HOUSING AUTHORITY OF THE COUNTY OF SALT LAKE,"Salt Lake City, UT","South Salt Lake, UT",51 to 200 employees,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,2,"CAO Group, INC
2.0","West Jordan, UT","West Jordan, UT",51 to 200 employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),-1,-1,40.6024,-112.0008,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4.2,"University of Utah
4.2","Salt Lake City, UT","Salt Lake City, UT",10000+ employees,1850,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1,-1,40.7777,-111.9306,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,3.6,"Paladin Consulting Inc
3.6","Salt Lake City, UT","Dallas, TX",501 to 1000 employees,1983,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"TEKsystems, Randstad US",-1,40.7777,-111.9306,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4.3,"SunTechPros, Inc.
4.3","Salt Lake City, UT","Morrisville, NC",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1,40.7777,-111.9306,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4,"SGI Global, LLC
4.0","Salt Lake City, UT","Alexandria, VA",501 to 1000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Data Engineer / Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4.3,"HCL Global Systems
4.3","Salt Lake City, UT","Farmington Hills, MI",10000+ employees,-1,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,-1,40.7777,-111.9306,UT
Junior Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4.1,"Abnormal Security
4.1","Lehi, UT","San Francisco, CA",51 to 200 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,40.4136,-111.8726,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4.5,"Vimerse
4.5","Salt Lake City, UT","Sugar Land, TX",51 to 200 employees,2011,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Data Analyst : 20,$26K-$47K (Glassdoor est.),26000,47000,36500,4.6,"Akraya Inc.
4.6","Salt Lake City, UT","Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),"Collabera, Artech Information Systems, TEKsystems",-1,40.7777,-111.9306,UT
Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,$26K-$47K (Glassdoor est.),26000,47000,36500,4,"Goldman Sachs
4.0","Salt Lake City, UT","New York, NY",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"J.P. Morgan, Merrill Lynch, Morgan Stanley",-1,40.7777,-111.9306,UT
Data Engineer/Data Analyst (REMOTE/Eventually Onsite),$26K-$47K (Glassdoor est.),26000,47000,36500,4.1,"Idexcel Inc.
4.1","Salt Lake City, UT","Herndon, VA",501 to 1000 employees,1998,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Data Engineer/Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,3.6,"SPECTRAFORCE TECHNOLOGIES Inc.
3.6","Salt Lake City, UT","Raleigh, NC",501 to 1000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1,40.7777,-111.9306,UT
Quality Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,2.6,"Easton Technical Products
2.6","Salt Lake City, UT","Salt Lake City, UT",201 to 500 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$50 to $100 million (USD),-1,-1,40.7777,-111.9306,UT
Technical Data Analyst/Architect,$26K-$47K (Glassdoor est.),26000,47000,36500,3,"CIVICA INC
3.0","Lehi, UT","Vaughan, Canada",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,-1,40.4136,-111.8726,UT
Data Governance Analyst II,$26K-$47K (Glassdoor est.),26000,47000,36500,3.6,"ENERBANK USA
3.6","Salt Lake City, UT","Salt Lake City, UT",1 to 50 employees,-1,Company - Public,-1,-1,$100 to $500 million (USD),-1,-1,40.7777,-111.9306,UT
Big Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT","Farmington Hills, MI",51 to 200 employees,1995,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1,40.7777,-111.9306,UT
Senior Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,3.4,"Ascential
3.4","Salt Lake City, UT","London, United Kingdom",1001 to 5000 employees,1947,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1,-1,40.7777,-111.9306,UT
Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,-1,Artius Solutions,"Salt Lake City, UT",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.7777,-111.9306,UT
"Data Analyst at Salt Lake City, UT",$26K-$47K (Glassdoor est.),26000,47000,36500,4.5,"Vimerse
4.5","Salt Lake City, UT","Sugar Land, TX",51 to 200 employees,2011,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Senior Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,3.8,"F5 Networks
3.8","Draper, UT","Seattle, WA",5001 to 10000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Citrix, VMware, Juniper Networks",-1,40.4957,-111.8605,UT
Data Scientist/Analyst - Noke,$26K-$47K (Glassdoor est.),26000,47000,36500,2.7,"Janus International Group, LLC
2.7","Lehi, UT","Temple, GA",501 to 1000 employees,2001,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,-1,40.4136,-111.8726,UT
Data Analyst - W2 candidate,$26K-$47K (Glassdoor est.),26000,47000,36500,3.3,"ClientSolv Technologies
3.3","American Fork, UT","Greenwood Village, CO",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1,40.3792,-111.7952,UT
Senior Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,-1,DrangKro Aerospace,"Salt Lake City, UT",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.7777,-111.9306,UT
Marketing Coordinator / Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,-1,POPi/o Mobile Video Cloud,"Sandy, UT",-1,-1,-1,-1,-1,-1,-1,-1,-1,40.571,-111.8505,UT
Senior Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,5,"Resiliency LLC
5.0","Salt Lake City, UT","Stamford, CT",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Financial Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,3.5,"Vivint Solar
3.5","Lehi, UT","Lehi, UT",1001 to 5000 employees,2011,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1,-1,40.4136,-111.8726,UT
Special Operations (LREC) Incentives and Proficiency Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,3.5,"YORKTOWN SYSTEMS GROUP INC
3.5","Riverton, UT","Huntsville, AL",501 to 1000 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1,40.5177,-111.9635,UT
Senior Data Analyst,$26K-$47K (Glassdoor est.),26000,47000,36500,4.1,"Shape Security
4.1","Draper, UT","Mountain View, CA",51 to 200 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,40.4957,-111.8605,UT
a. Senior Data and Business Analyst,$31K-$59K (Glassdoor est.),31000,59000,45000,4,"Connor Group
4.0","Salt Lake City, UT","Santa Clara, CA",201 to 500 employees,2006,Company - Private,Accounting,Accounting & Legal,$25 to $50 million (USD),-1,-1,40.7777,-111.9306,UT
Fund Data Analyst,$31K-$59K (Glassdoor est.),31000,59000,45000,3.5,"Vivint Solar
3.5","Lehi, UT","Lehi, UT",1001 to 5000 employees,2011,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),-1,-1,40.4136,-111.8726,UT
Sr Python Data Analyst(no c2c) contract w2 only,$31K-$59K (Glassdoor est.),31000,59000,45000,2.9,"VED Software Services, Inc.
2.9","Salt Lake City, UT","Farmington Hills, MI",51 to 200 employees,1995,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),-1,-1,40.7777,-111.9306,UT
TX Healthcare Data/Reporting Analyst,$31K-$59K (Glassdoor est.),31000,59000,45000,4.2,"Abacus Service Corporation
4.2","Salt Lake City, UT","Southfield, MI",501 to 1000 employees,2004,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,40.7777,-111.9306,UT
Data Analyst,$47K-$81K (Glassdoor est.),47000,81000,64000,3.5,"Robert Half
3.5","Reedley, CA","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",-1,36.5987,-119.4473,CA
"Data Analyst, District Office - Accountability Office",$47K-$81K (Glassdoor est.),47000,81000,64000,3.7,"TCOE
3.7","Visalia, CA","Springville, CA",1 to 50 employees,-1,School / School District,Preschool & Child Care,Education,$1 to $5 million (USD),-1,-1,36.3276,-119.3269,CA
Data Analyst (Kings County),$47K-$81K (Glassdoor est.),47000,81000,64000,3.3,"Public Health Foundation Enterprises, In
3.3","Hanford, CA","City of Industry, CA",1001 to 5000 employees,1968,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),-1,-1,36.3274,-119.6549,CA
Tactical Data Link (TDL) Analyst,$43K-$69K (Glassdoor est.),43000,69000,56000,4.3,"USfalcon
4.3","Hampton, VA","Cary, NC",201 to 500 employees,1984,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"General Dynamics Information Technology, ENSCO, Booz Allen Hamilton",-1,37.0551,-76.363,VA
Data Analyst,$43K-$69K (Glassdoor est.),43000,69000,56000,2.5,"Hampton University
2.5","Hampton, VA","Hampton, VA",1001 to 5000 employees,1868,College / University,Colleges & Universities,Education,$100 to $500 million (USD),-1,-1,37.0551,-76.363,VA
